   1.0000000e+00	   6.6000000e+01	   5.8000000e+01	
   2.0000000e+00	   6.2000000e+01	   6.2000000e+01	
   3.0000000e+00	   6.8000000e+01	   5.4000000e+01	
   4.0000000e+00	   7.4000000e+01	   5.0000000e+01	
   5.0000000e+00	   3.4000000e+01	   1.1800000e+02	
   6.0000000e+00	   3.2000000e+01	   1.3400000e+02	
   7.0000000e+00	   4.0000000e+01	   9.4000000e+01	
   8.0000000e+00	   3.8000000e+01	   1.0200000e+02	
   9.0000000e+00	   3.6000000e+01	   1.0600000e+02	
   1.0000000e+01	   3.0000000e+01	   1.5000000e+02	
   1.1000000e+01	   6.0000000e+01	   6.6000000e+01	
   1.2000000e+01	   4.8000000e+01	   7.8000000e+01	
   1.3000000e+01	   5.4000000e+01	   7.0000000e+01	
   1.4000000e+01	   4.2000000e+01	   9.0000000e+01	
   1.5000000e+01	   5.2000000e+01	   7.4000000e+01	
   1.6000000e+01	   4.4000000e+01	   8.2000000e+01	
