15
 1  6  5  2  5 10  3  6  7  8  9  2  7  2  9 
 2  7 10  3 10  3  6  3  2  9  6  5  2  7  6 
 3  2  3  6  1  6  3 10  5  6  7 10  5  4  5 
 2  3  6  5  8  3  8  7  8  9  6  3  4  1  6 
 5  6  7  4  3 10  7  2  5  4  7  2  9 10  5 
 4  1  2  9 10  9  4  7  2  3  8  3  6  3  6 
 5  4  9  6  3  6  9 10  7  6  9  6  7 10  3 
 2  7 10  1  8  3  6  9  6  1  8  3 10  1 10 
 7  6  1  8  9  8  7  4  1  6  3  2  1  8  3 
 8  9  2  1 10  3  4  7  4  9  4  9  2  3  4 
 5  2  5  4  1  4  9  2  1  2  1 10  1  6  3 
10  9  8  1  6  1  6  7  6  9  6  3  4  9  8 
 9  4  5  4  5  6  9  4  3  8  9 10  1  6  1 
 2  7  2  7  6  1  6  5  6  1  6  5  6  1  8 
 5  4  9  2  5  6  3  6  7  8  1 10  5 10  3 
 4 17 10 19 12 17 14 11 20  5  2  3  4  5  6 
 3 12 13 18  3 12 13  6 15 16 17 18 11 16  9 
14 11 16  1 18  3 16 13 14 15 20 17  6 19 12 
 5 10 11  4 17 18 15 12  5 14  7  8 13 14 19 
 8  5 14 19 20  5 14 19  8  5  2  7  4  5  2 
15 16  1 14  7  8  1  6 11 12 17 10 11 20  5 
 6  3  8  5  2  7 20  1 10 19 12 13  6 19 16 
13  2 11 12  5  6  3 20 17 18 15 20 13  6 19 
20  5  2  7  8  9 14  3 12  9  6  7  8 17 14 
11  4  5 14  3 16 17 14 15  8 13  2 19 20  1 
 6  3 16  1  2  3 16  1  6 11 12  1  2  7  8 
 9  2  7  8  5 14  3 20 17  2  3  4  9 14 15 
 8 13 14  3  4  9 10 19  8  9  2  7  8  9  6 
19  8  5  6 19 20 13  6 11  8  1 14  3 16  1 
 2  7  4 17  2 15 12 17 14 11 12 17  2  7  4 
19 16  9  4 19 22  7 22 27  2 23 26 13  6 17 
 4 27 18 19 22  1 26  3 16  5  4 19 22 13 22 
17 16 17  4 13  4  5 20 19 30 25 26 11  6 29 
24  5 28 25 18 11  8 17 14 17 16  3 28  7 20 
17  2 13 12 17  8  5 12 17 18  1 12 13 22  1 
26  3 16 29 26 21 10 23  4 11  2 25 28 19 26 
11 18 11  2 15 18 23 30  9 16 11 10  1 24 27 
18 17 26 21  8  5 20  3  8 17 12  3 30  3 22 
15 10  5 26 23 24 21 20  1  4 15 30 13  2 29 
28 25 18 27 16  7 30 13 20 19 24 19  8  1 24 
 3  2 29 22 19 28  1 28  7  6 21 14  3 30  5 
 2 13  8 25 12  3 14 15  2 15  6 11 12 15 26 
 1 16  3  2  7 14  5 28  7 30 25  2  1 24  9 
18 11 16  3  4 29 26  5 12 27  6  3 14 17 28 
 3  8  1 20 11 14 21 20 17 14 17 20 15 14 23 
30 35  4  1 34 39 32  5 14 27 20  9  2  7 32 
13 38 19  4  9  2 39  8 37  6 19  4  9 34 23 
32 37  6 11 28  9 18 31 16 37 30 19  4 33  2 
39 24  5  6 11 20  1 10 31 16 13 30 11  4 33 
18 23 40 29 22 35 28 25 26 23 24 13 30 27 12 
 1  2 23 32  5 14 27  4 25 34 23 32  5 14 19 
12 25 10  7 16 21  6 19 36 33  2 15  8 13 14 
35 36 17 26 31 40 29 38 35  4 33 34 31 24 13 
38 11 20  1 26 15  8 21  6 19  4  9 18 39 24 
 5 38  3 12  1 18  7 16 13 30 27 20 25 10 39 
16 21 22 27 12 33 34 39 24  5 22 27 28 17 18 
 7 40 21 22 19 28 17 18 15  8 29 38  3 36 25 
 2 15 24 37  6 35  4  1 34 23  8 21 38 35  4 
17 34  7  8 37  6 19 36 25 18 39 24 21  6 27 
12  9 26 15 24 37  6  3 20 17 18 39 24  5 22 
