20
 1  6  5  2  5 10  3  6  7  8  9  2  7  2  9  2  7 10  3 10 
 3  6  3  2  9  6  5  2  7  6  3  2  3  6  1  6  3 10  5  6 
 7 10  5  4  5  2  3  6  5  8  3  8  7  8  9  6  3  4  1  6 
 5  6  7  4  3 10  7  2  5  4  7  2  9 10  5  4  1  2  9 10 
 9  4  7  2  3  8  3  6  3  6  5  4  9  6  3  6  9 10  7  6 
 9  6  7 10  3  2  7 10  1  8  3  6  9  6  1  8  3 10  1 10 
 7  6  1  8  9  8  7  4  1  6  3  2  1  8  3  8  9  2  1 10 
 3  4  7  4  9  4  9  2  3  4  5  2  5  4  1  4  9  2  1  2 
 1 10  1  6  3 10  9  8  1  6  1  6  7  6  9  6  3  4  9  8 
 9  4  5  4  5  6  9  4  3  8  9 10  1  6  1  2  7  2  7  6 
 1  6  5  6  1  6  5  6  1  8  5  4  9  2  5  6  3  6  7  8 
 1 10  5 10  3  4  7 10  9  2  7  4  1 10  5  2  3  4  5  6 
 3  2  3  8  3  2  3  6  5  6  7  8  1  6  9  4  1  6  1  8 
 3  6  3  4  5 10  7  6  9  2  5 10  1  4  7  8  5  2  5  4 
 7  8  3  4  9  8  5  4  9 10  5  4  9  8  5  2  7  4  5  2 
 5  6  1  4  7  8  1  6  1  2  7 10  1 10  5  6  3  8  5  2 
 7 10  1 10  9  2  3  6  9  6  3  2  1  2  5  6  3 10  7  8 
 5 10  3  6  9 10  5  2  7  8  9  4  3  2  9  6  7  8  7  4 
 1  4  5  4  3  6  7  4  5  8  3  2  9 10  1  6  3  6  1  2 
 3  6  1  6  1  2  1  2  7  8  9  2  7  8  5  4  3 10  7  2 
 3  4  9 14 15  8 13 14  3  4  9 10 19  8  9  2  7  8  9  6 
19  8  5  6 19 20 13  6 11  8  1 14  3 16  1  2  7  4 17  2 
15 12 17 14 11 12 17  2  7  4  9  6 19  4  9  2  7 12 17  2 
 3 16 13  6  7  4 17 18 19 12  1  6  3 16  5 14 19 12 13  2 
 7 16 17 14  3  4  5 10 19 20  5  6 11 16  9 14 15  8  5 18 
11  8 17 14  7 16 13 18  7 20 17  2  3 12 17 18 15 12 17 18 
11 12 13  2 11 16 13  6 19 16  1 10  3  4  1  2 15  8  9  6 
11  8  1  2 15  8 13 10 19 16  1 10 11  4 17 18  7 16  1 18 
15 20 13 18  7 12 13 10  3 12  5 10 15 16 13 14 11 20  1 14 
15 20 13  2 19  8  5 18  7 16 17 10  3 20  9 14 19  8  1 14 
 3 12  9  2 19  8  1 18  7 16  1 14  3 20  5  2  3  8  5  2 
 3  4  5  2 15 16  1  2 15 16  1  6  3 12 17 14 15  8 17 10 
15 12  1 14 19  8  1  6  3  4  9  6 15 12 17  6  3  4 17 18 
 3  8  1 10 11  4  1 10  7  4 17 10 15  4 13 10 15  4  1 14 
19 12  5 14  7 20  9  2  7 12 13 18 19  4  9  2 19  8 17  6 
19  4  9 14  3 12 17  6 11  8  9 18 11 16 17 10 19  4 13  2 
19  4  5  6 11 20  1 10 11 16 13 10 11  4 13 18  3 20  9  2 
15  8  5  6  3  4 13 10  7 12  1  2  3 12  5 14  7  4  5 14 
 3 12  5 14 19 12  5 10  7 16  1  6 19 16 13  2 15  8 13 14 
15 16 17  6 11 20  9 18 15  4 13 14 11  4 13 18 11 20  1  6 
15 28 21 16  9 24 19 18 19 14 15 18  3 12 21 18 27 16  3 10 
17 20 25 30 19  6 21 12  7 12 13  4 19 24 25 12  7 28 17 28 
 7 30 11  2 29  8  7 18 25 18 19 28 13  6 25  2  5  4 17  6 
25 14 11 14  3  8  1 18 15 14  7  4 27  8 27  6 29 26 15  8 
19 24 11  6 27  2  9 26 25 14 27  6  3 20 17  8  9  4 15 12 
23 20 11  8 15 14  3  2 15  4 17 30  7  8 23 14 17 30 19 24 
25 10 25 28 23 16 13 26 13 24 21 30  3 24 23 18  3 28 27 30 
27 28  3 24 25  4 15 18 21 22 23 20 27 28 27 14 29 24 27 30 
29  6 15 26 21 14  9 20  3  8 15 24 19 24  3 18 13  4  5 20 
21 18 23 10 17 16 11 26 15 24 15 22 19 24 15 22 13 24 13  6 
19 18  7 16  1 14 11 12 15 30 11 30 19 12 15  2 11 28  7 28 
17 26 19 30 21 20  9 16 17 16  7 30 27 20 29  6 27 10  3 24 
25 10 19  6 13 26 29 30 25  8  5 28 29 22  7  4 13  4 19  6 
29 18 17  8  9 30  7  4 11 14  9 10 29 30 15 24  7 12 13  4 
17 28  3 28 29 10 11 16  5  4 23  6  7 12  5 24  3 12  9 10 
23  4  1 18 21 28 27 26 23 18 25 24 13 20 11 28 13  8 27 16 
29 10 19 28 23  6  3 30 23 30 19 10 23  8 15  2 27 26  1  6 
13 22  3  8  9  8 17  6  5 16 17  8 13  8 19 10 29  8 15 28 
17 22 27 12 23 30 21 10 13 18  1 18  1 14 25 10 17 16 29 30 
17 26 27 16 21 30  5  2  1 22 11 22  9 10 23  8  7 26 29  4 
23 16 37 30  3 36 25 10 15 16 37 30 27 20  9 34 15 40 21  6 
27 36 17 10 31  8 29 38  3 28 33 26 39  8 29  6 19 12 25 10 
39 32  5 38 11  4 25 10 15 40 21  6  3 28  9 34 15 24  5 30 
27 36 25 10  7 32  5  6 27 36 25 18 31 16  5  6 19  4  9 26 
15 40  5 14 27 36 33  2 15 40 37 30 27 20  1  2 31  8 37 30 
11  4 17 34 15 24 29 14  3 12 33 34 31 16 37 22 27 20 17 34 
39 24 29 30 27 28 25 18 15 16 13 14 27 28 33 26 15  8 37 38 
19  4 17 10 31 16  5 30 35 36 33 26 23 32  5 14 11 36  9 10 
 7 32 13 22  3 36  1  2  7 32  5 14 11  4 25 26 15 16 13 30 
 3 36 33 18 39 16 29  6 19 20 17  2 23 16 13 14 27 20 33 18 
23 40 29 14 11 28  9 10  7  8 13 30 27 28 33  2 31 32 37 14 
19  4 33 26 39 40  5 14 19 28 17  2 23 16 13 38 27 28 17 34 
39 24 13 38 35 20 25 18 23 32 37 14 35 36 17 26 23 32  5 22 
27 20 25 34 23 24 13 30 35  4 33 10 31 16  5 14 19 12  9  2 
15 24 37 14 19 28  1 18 15 40 13  6  3 36 25 26 15  8 37 30 
27 36 25  2 39 32 29 38 27 36 33  2 31 16  5 14 19 20 33 18 
39 16 21 30 19 28 17 18 31 24 37 38  3 12 33  2  7  8 13 30 
27 36 25 26 39 16 37 22  3 28 17 34  7  8 13 30  3  4 17 10 
 7 24 37 14 11 28  9 18 15 40 21 22  3  4 17 18  7 40 21 30 
 3 36 17 34 39  8 21 14 27 28 25  2 23 32  5 30 27 28  1 34 
