8
 1  6  5  2  5 10  3  6 
 7  8  9  2  7  2  9  2 
 7 10  3 10  3  6  3  2 
 9  6  5  2  7  6  3  2 
 3  6  1  6  3 10  5  6 
 7 10  5  4  5  2  3  6 
 5  8  3  8  7  8  9  6 
 3  4  1  6  5  6  7  4 
 3 20 17  2 15  4 17  2 
19 20  5 14 11 12  9 10 
19  4 17  2  3  8 13  6 
 3 16  5 14 19 16 13  6 
19 20 17  6 19 16 17 10 
 3 12 17 10 11  8 13  6 
19 16  1 18  3 20  1 10 
 7 16  1 18 19  8 17 14 
 1  6 13 22 21 28  3 28 
 9 12 11 20 13 14  7  4 
19 24 19  2 13 24 15 22 
 5  4  1 14 19 22  1  2 
 1 30 21 26 13 30  9 18 
 1 16 11  6  7 16 29 16 
 3 24 29  8 19 14 15 14 
 5 26  9 24  3 18 19 10 
31 16 21 22 27 12 17 26 
31 16  5  6 11 36 25 26 
31  8  5 14 19 12 25 26 
23 16 37 38 11 20 25 10 
23 24 37 30 19 12 17 34 
31 40  5 22  3  4 25 26 
23 32 13 38  3 12 33 26 
15 16 37 38 11 36  9 34 
52 
   1  26  56 106 
   2  24  68  94 
   3  22  68 116 
   4  22  80 100 
   5  20  80 122 
   6  36  72  60 
   7  40  56  70 
   8  38  56  72 
   9  28  72  70 
  10  32  56  80 
  11  28  56  90 
  12  34  44  96 
  13  26  68  78 
  14  24  80  84 
  15  38  40 104 
  16  42  52  76 
  17  34  60  64 
  18  38  80  50 
  19  30  48  88 
  20  30  80  60 
  21  28  76  64 
  22  24  72  90 
  23  22  72 112 
  24  26  60  94 
  25  24  60 116 
  26  32  68  76 
  27  26  88  70 
  28  22  84  96 
  29  20  84 118 
  30  38  72  56 
  31  40  64  62 
  32  36  88  52 
  33  30  72  66 
  34  36  52  86 
  35  28  88  62 
  36  26 100  68 
  37  46  76  54 
  38  42  84  48 
  39  48  68  60 
  40  48  96  40 
  41  42 120  42 
  42  38  96  44 
  43  34  76  58 
  44  32  92  54 
  45  30  96  54 
  46  28  92  58 
  47  36 116  50 
  48  24 104  80 
  49  28  60  84 
  50  52  36 116 
  51  26  84  72 
  52  50  36 134 
