8
 1  6  5  2  5 10  3  6 
 7  8  9  2  7  2  9  2 
 7 10  3 10  3  6  3  2 
 9  6  5  2  7  6  3  2 
 3  6  1  6  3 10  5  6 
 7 10  5  4  5  2  3  6 
 5  8  3  8  7  8  9  6 
 3  4  1  6  5  6  7  4 
 3 20 17  2 15  4 17  2 
19 20  5 14 11 12  9 10 
19  4 17  2  3  8 13  6 
 3 16  5 14 19 16 13  6 
19 20 17  6 19 16 17 10 
 3 12 17 10 11  8 13  6 
19 16  1 18  3 20  1 10 
 7 16  1 18 19  8 17 14 
 1  6 13 22 21 28  3 28 
 9 12 11 20 13 14  7  4 
19 24 19  2 13 24 15 22 
 5  4  1 14 19 22  1  2 
 1 30 21 26 13 30  9 18 
 1 16 11  6  7 16 29 16 
 3 24 29  8 19 14 15 14 
 5 26  9 24  3 18 19 10 
31 16 21 22 27 12 17 26 
31 16  5  6 11 36 25 26 
31  8  5 14 19 12 25 26 
23 16 37 38 11 20 25 10 
23 24 37 30 19 12 17 34 
31 40  5 22  3  4 25 26 
23 32 13 38  3 12 33 26 
15 16 37 38 11 36  9 34 
8 
   1  26  56 
   2  22  68 
   3  20  80 
   4  38  40 
   5  34  44 
   6  24  60 
   7  30  48 
   8  50  36 
