30
 1  6  5  2  5 10  3  6  7  8  9  2  7  2  9  2  7 10  3 10  3  6  3  2  9  6  5  2  7  6 
 3  2  3  6  1  6  3 10  5  6  7 10  5  4  5  2  3  6  5  8  3  8  7  8  9  6  3  4  1  6 
 5  6  7  4  3 10  7  2  5  4  7  2  9 10  5  4  1  2  9 10  9  4  7  2  3  8  3  6  3  6 
 5  4  9  6  3  6  9 10  7  6  9  6  7 10  3  2  7 10  1  8  3  6  9  6  1  8  3 10  1 10 
 7  6  1  8  9  8  7  4  1  6  3  2  1  8  3  8  9  2  1 10  3  4  7  4  9  4  9  2  3  4 
 5  2  5  4  1  4  9  2  1  2  1 10  1  6  3 10  9  8  1  6  1  6  7  6  9  6  3  4  9  8 
 9  4  5  4  5  6  9  4  3  8  9 10  1  6  1  2  7  2  7  6  1  6  5  6  1  6  5  6  1  8 
 5  4  9  2  5  6  3  6  7  8  1 10  5 10  3  4  7 10  9  2  7  4  1 10  5  2  3  4  5  6 
 3  2  3  8  3  2  3  6  5  6  7  8  1  6  9  4  1  6  1  8  3  6  3  4  5 10  7  6  9  2 
 5 10  1  4  7  8  5  2  5  4  7  8  3  4  9  8  5  4  9 10  5  4  9  8  5  2  7  4  5  2 
 5  6  1  4  7  8  1  6  1  2  7 10  1 10  5  6  3  8  5  2  7 10  1 10  9  2  3  6  9  6 
 3  2  1  2  5  6  3 10  7  8  5 10  3  6  9 10  5  2  7  8  9  4  3  2  9  6  7  8  7  4 
 1  4  5  4  3  6  7  4  5  8  3  2  9 10  1  6  3  6  1  2  3  6  1  6  1  2  1  2  7  8 
 9  2  7  8  5  4  3 10  7  2  3  4  9  4  5  8  3  4  3  4  9 10  9  8  9  2  7  8  9  6 
 9  8  5  6  9 10  3  6  1  8  1  4  3  6  1  2  7  4  7  2  5  2  7  4  1  2  7  2  7  4 
 9  6  9  4  9  2  7  2  7  2  3  6  3  6  7  4  7  8  9  2  1  6  3  6  5  4  9  2  3  2 
 7  6  7  4  3  4  5 10  9 10  5  6  1  6  9  4  5  8  5  8  1  8  7  4  7  6  3  8  7 10 
 7  2  3  2  7  8  5  2  7  8  1  2  3  2  1  6  3  6  9  6  1 10  3  4  1  2  5  8  9  6 
 1  8  1  2  5  8  3 10  9  6  1 10  1  4  7  8  7  6  1  8  5 10  3  8  7  2  3 10  3  2 
 5 10  5  6  3  4  1 10  1  4  5 10  3  2  9  8  5  8  7  6  7 10  3 10  9  4  9  8  1  4 
 3  2  9  2  9  8  1  8  7  6  1  4  3 10  5  2  3  8  5  2  3  4  5  2  5  6  1  2  5  6 
 1  6  3  2  7  4  5  8  7 10  5  2  1  4  9  8  1  6  3  4  9  6  5  2  7  6  3  4  7  8 
 3  8  1 10  1  4  1 10  7  4  7 10  5  4  3 10  5  4  1  4  9  2  5  4  7 10  9  2  7  2 
 3  8  9  4  9  2  9  8  7  6  9  4  9  4  3  2  7  6  1  8  9  8  1  6  7 10  9  4  3  2 
 9  4  5  6  1 10  1 10  1  6  3 10  1  4  3  8  3 10  9  2  5  8  5  6  3  4  3 10  7  2 
 1  2  3  2  5  4  7  4  5  4  3  2  5  4  9  2  5 10  7  6  1  6  9  6  3  2  5  8  3  4 
 5  6  7  6  1 10  9  8  5  4  3  4  1  4  3  8  1 10  1  6  5  8  1  6  9  4  9  8  9  4 
 5  8  3  2  1  8  7  6  3 10  7 10  5 10  9  6  1  2  7  2  3  4  9  4  5  2  7  8  7  8 
 7 10  1  2  9  8  7  8  5  8  9  8  3  6  5  2  5  4  7  6  5  4  1  4  3  8  1  8  5  4 
 7  4  7  8  7  6  9  6  5  8  9  4  1  6  7  2  9  6  5  4  7  6  3 10  7  8  9  4  5  2 
 3 20  1 18 15  4 13  2 15  4 17 10  7  8 13 14  7 20  9 14 15 20  5 18  3 16 13  6  3  4 
 1 10  3  4 13 18  3  8 17 10  7  8 13 14 15  4  5 18 11 12 13 10  7  8 17 14 19  4 17 10 
19 16  5  6 11  4  9 10  3  8  5 14 19  4 13 18  3  4  5 10 11  8 13 10  7 16  1  6 15  4 
 5  2 19  4  5  2  3  4 13  6 19  8 17  6 11  4  1  2 15 20  1 10 19 12  5  2 11  8 17 18 
 7 16  9 10 11 20  9  6  7 16 17 10  7 20  9  6  7 20 13 14 15 20  9  6  3 16  9 10 15  8 
 5 18 19 12 17 14  3  4  9  6 19  8 17 18 19 20 17 14 11  4  9 10 19 20  5 14  7 12 13 14 
 7  8 13 18 19 20  1  6 15  4 13  6  7 12  5 14  3 12  9 10  3  4  1 18 11  8 17  6  3  8 
 5 14  3 20  1 18  3  8 17  6 19 20  9 18  3 16 13 10  3 20  9 10  3  8  5  2  7 16  1  6 
 3 12 13 18 19  8 17  6 15 16 17 18  3  8  9 10 19  8  5 18  7 12 17  2  3 20  1 10  3  8 
 1 18 11  4  5 10  7 16  9 10  7 16 17  6 11 20  5  2 11 12  1  2 19 20 13 18  7 16  9 14 
 3 16 17 10  3 16  5 10 15 16 17 10  7 20  9 14 15 20  1  6  7 16 17 10 11  8  9 18  3  8 
13  6 19  8  9  6 19 12  5 10 19 12  5 18 11  4  5 10 15 20  1  6  3  8  9 14 15  4  5 10 
 7 16  5 10  7 12  5  6  7 16  5 18 11 16  5  6 19  4  9  6 15 20  5 14  7 16 13  2 15 20 
17 10  7 20  1  2 11  8 17 10 11  4 17 14 15  4  9 14  3 12 13 14 11 16 17  2  7 20 17 14 
19  4  9 10  7  8  5 18 15 16 13 14  7  8 13  6 15  8 17 18 19  4 17 10 11 16  5 10 15 16 
13  6  3 12  5 14 11 16  9 10  7 12 13  2  3 16  1  2  7 12  5 14 11  4  5  6 15 16 13 10 
 3 16 13 18 19 16  9  6 19 20 17  2  3 16 13 14  7 20 13 18  3 20  9 14 11  8  9 10  7  8 
13 10  7  8 13  2 11 12 17 14 19  4 13  6 19 20  5 14 19  8 17  2  3 16 13 18  7  8 17 14 
19  4 13 18 15 20  5 18  3 12 17 14 15 16 17  6  3 12  5  2  7 20  5 14  3  4 13 10 15  4 
13 10 11 16  5 14 19 12  9  2 15  4 17 14 19  8  1 18 15 20 13  6  3 16  5  6 15  8 17 10 
 7 16  5  2 19 12  9 18  7 16 13  2 11 16  5 14 19 20 13 18 19 16  1 10 19  8 17 18 11  4 
17 18  3 12 13  2  7  8 13 10  7 16  5  6 19 16 17  2  3  8 17 14  7  8 13 10  3  4 17 10 
 7  4 17 14 11  8  9 18 15 20  1  2  3  4 17 18  7 20  1 10  3 16 17 14 19  8  1 14  7  8 
 5  2  3 12  5 10  7  8  1 14  3  4 17  6 15  4 13  6 19 20  1 18 19  8  9 14  3  4 13 10 
 7 16  9 10 15 16  9  6 19 16 17 10  7 20 13  6 15 20 13 14 15 20  9 10 11 20  5 18 11  8 
13  6 11 20 17  6  7  8  9  6 19 12  9 18 15 20 13  6  3 20 13 14 11 20 13 10 19  8  9 14 
