8
 1  6  5  2  5 10  3  6 
 7  8  9  2  7  2  9  2 
 7 10  3 10  3  6  3  2 
 9  6  5  2  7  6  3  2 
 3  6  1  6  3 10  5  6 
 7 10  5  4  5  2  3  6 
 5  8  3  8  7  8  9  6 
 3  4  1  6  5  6  7  4 
 3 20 17  2 15  4 17  2 
19 20  5 14 11 12  9 10 
19  4 17  2  3  8 13  6 
 3 16  5 14 19 16 13  6 
19 20 17  6 19 16 17 10 
 3 12 17 10 11  8 13  6 
19 16  1 18  3 20  1 10 
 7 16  1 18 19  8 17 14 
 1  6 13 22 21 28  3 28 
 9 12 11 20 13 14  7  4 
19 24 19  2 13 24 15 22 
 5  4  1 14 19 22  1  2 
 1 30 21 26 13 30  9 18 
 1 16 11  6  7 16 29 16 
 3 24 29  8 19 14 15 14 
 5 26  9 24  3 18 19 10 
31 16 21 22 27 12 17 26 
31 16  5  6 11 36 25 26 
31  8  5 14 19 12 25 26 
23 16 37 38 11 20 25 10 
23 24 37 30 19 12 17 34 
31 40  5 22  3  4 25 26 
23 32 13 38  3 12 33 26 
15 16 37 38 11 36  9 34 
205 
   1  40  80  56 140 
   2  36  76  74 116 
   3  36  60  70 132 
   4  32  48  94 180 
   5  32  80  66 164 
   6  30  76  70 172 
   7  44  52  98 132 
   8  44  56  90 132 
   9  44  80  60 124 
  10  40  60  86 100 
  11  36  48 110 148 
  12  34  76  86 124 
  13  30  72 104 100 
  14  30  56 100 116 
  15  30 104  86 116 
  16  26  84 112  92 
  17  26  72  86 156 
  18  30  56  96 180 
  19  26  56 106 164 
  20  24  68  94 156 
  21  22  68 116 116 
  22  24  68 112 140 
  23  22  80 100 164 
  24  20  80 122 124 
  25  26  68 100 140 
  26  34  64  98 116 
  27  36  44  98 188 
  28  32  56  84 164 
  29  36  72  60 180 
  30  40  56  70 204 
  31  36  56  80 188 
  32  38  56  72 188 
  33  32  68  90 140 
  34  28  72  70 204 
  35  32  56  80 228 
  36  28  56  90 212 
  37  34  44  96 236 
  38  26  68  78 204 
  39  24  80  84 212 
  40  38  40 104 148 
  41  42  52  76 164 
  42  38  52  86 148 
  43  34  64  96 132 
  44  30  52 120 148 
  45  32  48 100 164 
  46  32 108  64 148 
  47  42 104  48 132 
  48  38  80  50 156 
  49  34  76  68 132 
  50  34  60  64 148 
  51  32  60  82 164 
  52  30  72  70 188 
  53  30  48  88 196 
  54  30  80  60 180 
  55  28  76  64 188 
  56  26  60  94 204 
  57  24  60 116 164 
  58  32  68  76 164 
  59  28  60  94 172 
  60  26  88  70 196 
  61  22  84  96 212 
  62  20  84 118 172 
  63  46  80  56 116 
  64  52  64  68 132 
  65  52  92  48 116 
  66  48  88  56  92 
  67  44  96  52 100 
  68  44  68  70  84 
  69  40  56  94 132 
  70  38  68 100 108 
  71  32 104  82 108 
  72  34 112  82  84 
  73  30 120  78  92 
  74  30  92  96  76 
  75  28  72  82 148 
  76  34 104  80 100 
  77  26  88  78 132 
  78  26  76 100 100 
  79  32  84 102  92 
  80  34 128  72 108 
  81  30 104  74 132 
  82  26 100  92 108 
  83  26  84  88 124 
  84  24 100  84 140 
  85  24  88 106 108 
  86  38  84  60 132 
  87  38  72  82 100 
  88  32 120  62 140 
  89  38  72  56 172 
  90  40  64  62 164 
  91  36  88  52 156 
  92  30  72  66 196 
  93  36  52  86 212 
  94  28  88  62 180 
  95  28 100  76 156 
  96  28  84  72 172 
  97  26 100  68 188 
  98  48 112  46 116 
  99  44  88  48 140 
 100  40  84  66 116 
 101  40  68  62 132 
 102  40  72  78 124 
 103  38  72  80 116 
 104  46  76  54 188 
 105  42  84  48 164 
 106  48  68  60 180 
 107  48  96  40 164 
 108  26  92  74 180 
 109  26  80  96 148 
 110  36 116  50 172 
 111  24 104  80 188 
 112  42 108  60 116 
 113  42  80  78 100 
 114  36  76 108  84 
 115  40  80  72 116 
 116  36 100  90 100 
 117  32  80 104  92 
 118  30  60  90 164 
 119  28  64 108 116 
 120  28  72  96 140 
 121  48  48 106 132 
 122  40  52 108  84 
 123  36  68  94 124 
 124  36  64 108 108 
