   1.0000000e+00	   2.5000000e+01	   1.1600000e+02	
   2.0000000e+00	   2.9000000e+01	   9.6000000e+01	
   3.0000000e+00	   2.7000000e+01	   1.0400000e+02	
   4.0000000e+00	   2.3000000e+01	   1.3600000e+02	
   5.0000000e+00	   4.7000000e+01	   5.6000000e+01	
   6.0000000e+00	   4.3000000e+01	   6.8000000e+01	
   7.0000000e+00	   4.1000000e+01	   7.2000000e+01	
   8.0000000e+00	   4.5000000e+01	   6.0000000e+01	
   9.0000000e+00	   6.1000000e+01	   4.0000000e+01	
   1.0000000e+01	   5.7000000e+01	   4.4000000e+01	
   1.1000000e+01	   5.5000000e+01	   4.8000000e+01	
   1.2000000e+01	   7.3000000e+01	   3.6000000e+01	
   1.3000000e+01	   5.3000000e+01	   5.2000000e+01	
   1.4000000e+01	   3.1000000e+01	   8.8000000e+01	
   1.5000000e+01	   3.3000000e+01	   8.4000000e+01	
   1.6000000e+01	   3.9000000e+01	   7.6000000e+01	
   1.7000000e+01	   3.7000000e+01	   8.0000000e+01	
